,meeting_key,session_key,driver_number,lap_number,race_date,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,position,final_position,total_laps,lap_remaining,positions_to_gain,gain_per_lap
571,1141,7953,63,30,2023-03-05 00:00:00+00:00,31.301,43.18,24.06,,251.0,False,98.541,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",,7,7,57,28,6,0.21428571428571427
572,1141,7953,18,30,2023-03-05 00:00:00+00:00,31.512,43.025,26.93,231.0,255.0,False,101.467,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",301.0,8,6,57,28,7,0.25
573,1141,7953,77,30,2023-03-05 00:00:00+00:00,52.999,42.137,23.75,229.0,252.0,True,118.886,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2051, 2049, 2048, 2048, 2049, 2049, 2048]","[2051, 2049, 2049, 2048, 2049, 2049, 0]",218.0,9,8,57,28,8,0.2857142857142857
574,1141,7953,2,30,2023-03-05 00:00:00+00:00,31.687,43.426,27.296,233.0,257.0,False,102.409,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",307.0,10,12,57,28,9,0.32142857142857145
575,1141,7953,24,30,2023-03-05 00:00:00+00:00,31.741,43.19,24.451,,244.0,False,99.382,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",298.0,11,16,57,28,10,0.35714285714285715
576,1141,7953,23,30,2023-03-05 00:00:00+00:00,31.11,42.857,23.964,234.0,249.0,False,97.931,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",311.0,12,10,57,28,11,0.39285714285714285
577,1141,7953,20,30,2023-03-05 00:00:00+00:00,52.88,43.703,24.35,232.0,235.0,True,120.933,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",221.0,13,13,57,28,12,0.42857142857142855
578,1141,7953,10,30,2023-03-05 00:00:00+00:00,30.885,42.716,24.159,226.0,252.0,False,97.76,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048]",319.0,14,9,57,28,13,0.4642857142857143
579,1141,7953,22,30,2023-03-05 00:00:00+00:00,31.111,42.762,24.274,226.0,252.0,False,98.147,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",309.0,15,11,57,28,14,0.5
580,1141,7953,21,30,2023-03-05 00:00:00+00:00,31.186,42.605,23.918,234.0,244.0,False,97.709,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2051, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2049]",300.0,16,14,57,28,15,0.5357142857142857
